,CT_image_path,lung_mask_path,covid_infection_mask_path,Dataset_Label,is_Train
0,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_1460.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_1460.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_1460.npy,CT_20-04-20,False
1,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_1152.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_1152.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_1152.npy,CT_20-04-20,False
2,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_2936.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_2936.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_2936.npy,CT_20-04-20,False
3,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_774.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_774.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_774.npy,CT_20-04-20,False
4,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_1504.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_1504.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_1504.npy,CT_20-04-20,False
5,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_1600.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_1600.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_1600.npy,CT_20-04-20,False
6,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_2972.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_2972.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_2972.npy,CT_20-04-20,False
7,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_623.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_623.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_623.npy,CT_20-04-20,False
8,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_3245.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_3245.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_3245.npy,CT_20-04-20,False
9,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_3319.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_3319.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_3319.npy,CT_20-04-20,False
10,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_image_1296.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_lung_mask_1296.npy,/datadrive/COVID_CT_Images/CT_slices/CT_lung_Dataset_20-04-20_covid_mask_1296.npy,CT_20-04-20,False
